"","City","Station","Year","Month","PM2.5","PM10","NO2","SO2","Ozone","AQI","Area.Type","Indicator"
"1","Agra","Avas Vikas Colony",2015,"February",0,0,0,0,0,NA,"Residential",NA
"2","Agra","Avas Vikas Colony",2015,"March",0,0,0,0,0,NA,"Residential",NA
"3","Agra","Avas Vikas Colony",2015,"April",0,0,0,0,0,NA,"Residential",NA
"4","Agra","Avas Vikas Colony",2015,"May",0,0,0,0,0,NA,"Residential",NA
"5","Agra","Avas Vikas Colony",2015,"June",0,0,0,0,0,NA,"Residential",NA
"6","Agra","Avas Vikas Colony",2015,"July",0,0,0,0,0,NA,"Residential",NA
"7","Agra","Avas Vikas Colony",2015,"August",0,0,0,0,0,NA,"Residential",NA
"8","Agra","Avas Vikas Colony",2015,"September",0,0,0,0,0,NA,"Residential",NA
"9","Agra","Avas Vikas Colony",2015,"October",0,0,0,0,0,NA,"Residential",NA
"10","Agra","Avas Vikas Colony",2015,"November",0,0,0,0,0,NA,"Residential",NA
"11","Agra","Avas Vikas Colony",2015,"December",0,0,0,0,0,NA,"Residential",NA
"12","Agra","Avas Vikas Colony",2016,"January",0,0,0,0,0,NA,"Residential",NA
"13","Agra","Avas Vikas Colony",2016,"February",0,0,0,0,0,NA,"Residential",NA
"14","Agra","Avas Vikas Colony",2016,"March",0,0,0,0,0,NA,"Residential",NA
"15","Agra","Avas Vikas Colony",2016,"April",0,0,0,0,0,NA,"Residential",NA
"16","Agra","Avas Vikas Colony",2016,"May",0,0,0,0,0,NA,"Residential",NA
"17","Agra","Avas Vikas Colony",2016,"June",0,0,0,0,0,NA,"Residential",NA
"18","Agra","Avas Vikas Colony",2016,"July",0,0,0,0,0,NA,"Residential",NA
"19","Agra","Avas Vikas Colony",2016,"August",0,0,0,0,0,NA,"Residential",NA
"20","Agra","Avas Vikas Colony",2016,"September",0,0,0,0,0,NA,"Residential",NA
"21","Agra","Avas Vikas Colony",2016,"October",0,0,0,0,0,NA,"Residential",NA
"22","Agra","Avas Vikas Colony",2016,"November",0,0,0,0,0,NA,"Residential",NA
"23","Agra","Avas Vikas Colony",2016,"December",0,0,0,0,0,NA,"Residential",NA
"24","Agra","Avas Vikas Colony",2017,"January",0,0,0,0,0,NA,"Residential",NA
"25","Agra","Avas Vikas Colony",2017,"February",0,0,0,0,0,NA,"Residential",NA
"26","Agra","Avas Vikas Colony",2017,"March",0,0,0,0,0,NA,"Residential",NA
"27","Agra","Avas Vikas Colony",2017,"April",0,0,0,0,0,NA,"Residential",NA
"28","Agra","Avas Vikas Colony",2017,"May",0,0,0,0,0,NA,"Residential",NA
"29","Agra","Avas Vikas Colony",2017,"June",0,0,0,0,0,NA,"Residential",NA
"30","Agra","Avas Vikas Colony",2017,"July",0,0,0,0,0,NA,"Residential",NA
"31","Agra","Avas Vikas Colony",2017,"August",0,0,0,0,0,NA,"Residential",NA
"32","Agra","Avas Vikas Colony",2017,"September",0,0,0,0,0,NA,"Residential",NA
"33","Agra","Avas Vikas Colony",2017,"October",0,0,0,0,0,NA,"Residential",NA
"34","Agra","Avas Vikas Colony",2017,"November",0,0,0,0,0,NA,"Residential",NA
"35","Agra","Avas Vikas Colony",2017,"December",0,0,0,0,0,NA,"Residential",NA
"36","Agra","Avas Vikas Colony",2018,"January",0,0,0,0,0,NA,"Residential",NA
"37","Agra","Avas Vikas Colony",2018,"February",0,0,0,0,0,NA,"Residential",NA
"38","Agra","Avas Vikas Colony",2018,"March",0,0,0,0,0,NA,"Residential",NA
"39","Agra","Avas Vikas Colony",2018,"April",0,0,0,0,0,NA,"Residential",NA
"40","Agra","Avas Vikas Colony",2018,"May",0,0,0,0,0,NA,"Residential",NA
"41","Agra","Avas Vikas Colony",2018,"June",0,0,0,0,0,NA,"Residential",NA
"42","Agra","Avas Vikas Colony",2018,"July",0,0,0,0,0,NA,"Residential",NA
